model,dataset,shot,accuracy,train_n,test_n,classes,time_length,fft_bins,channels,normalize_time,fft_transform,distance_fusion,both_correct_rate,time_only_correct_rate,fft_only_correct_rate,neither_correct_rate,disagreement_rate,proto_margin_mean,proto_margin_median,proto_margin_positive_rate
time_ed_1nn,SpokenArabicDigits,1,0.4665757162346521,10,2199,10,65,33,13,False,rfft_log1p_abs_per_sample_channel_zscore,,0.17507958162801274,0.29149613460663937,0.06775807185084129,0.4656662119145066,0.7526148249204184,,,
fft_ed_1nn,SpokenArabicDigits,1,0.24283765347885403,10,2199,10,65,33,13,False,rfft_log1p_abs_per_sample_channel_zscore,,0.17507958162801274,0.29149613460663937,0.06775807185084129,0.4656662119145066,0.7526148249204184,,,
time_fft_ed_1nn,SpokenArabicDigits,1,0.4597544338335607,10,2199,10,65,33,13,False,rfft_log1p_abs_per_sample_channel_zscore,row_zscore_sum,0.17507958162801274,0.29149613460663937,0.06775807185084129,0.4656662119145066,0.7526148249204184,,,
time_proto,SpokenArabicDigits,1,0.4665757162346521,10,2199,10,65,33,13,False,rfft_log1p_abs_per_sample_channel_zscore,,0.17507958162801274,0.29149613460663937,0.06775807185084129,0.4656662119145066,0.7526148249204184,-387.3333981155319,-83.43408203125,0.4665757162346521
fft_proto,SpokenArabicDigits,1,0.24283765347885403,10,2199,10,65,33,13,False,rfft_log1p_abs_per_sample_channel_zscore,,0.17507958162801274,0.29149613460663937,0.06775807185084129,0.4656662119145066,0.7526148249204184,-27.413228269596974,-16.13067626953125,0.24283765347885403
time_fft_proto,SpokenArabicDigits,1,0.4597544338335607,10,2199,10,65,33,13,False,rfft_log1p_abs_per_sample_channel_zscore,row_zscore_sum,0.17507958162801274,0.29149613460663937,0.06775807185084129,0.4656662119145066,0.7526148249204184,-0.580549984535083,-0.15510058403015137,0.4597544338335607
time_ed_1nn,SpokenArabicDigits,10,0.8403819918144612,100,2199,10,65,33,13,False,rfft_log1p_abs_per_sample_channel_zscore,,0.3278763074124602,0.512505684402001,0.03319690768531151,0.12642110050022737,0.6480218281036835,,,
fft_ed_1nn,SpokenArabicDigits,10,0.36107321509777174,100,2199,10,65,33,13,False,rfft_log1p_abs_per_sample_channel_zscore,,0.3278763074124602,0.512505684402001,0.03319690768531151,0.12642110050022737,0.6480218281036835,,,
time_fft_ed_1nn,SpokenArabicDigits,10,0.7789904502046384,100,2199,10,65,33,13,False,rfft_log1p_abs_per_sample_channel_zscore,row_zscore_sum,0.3278763074124602,0.512505684402001,0.03319690768531151,0.12642110050022737,0.6480218281036835,,,
time_proto,SpokenArabicDigits,10,0.7826284674852205,100,2199,10,65,33,13,False,rfft_log1p_abs_per_sample_channel_zscore,,0.42246475670759437,0.3601637107776262,0.04047294224647567,0.17689859026830376,0.53706230104593,336.6534060226239,361.4423828125,0.7826284674852205
fft_proto,SpokenArabicDigits,10,0.46293769895407005,100,2199,10,65,33,13,False,rfft_log1p_abs_per_sample_channel_zscore,,0.42246475670759437,0.3601637107776262,0.04047294224647567,0.17689859026830376,0.53706230104593,-1.3557443102688722,-1.35186767578125,0.46293769895407005
time_fft_proto,SpokenArabicDigits,10,0.7712596634834016,100,2199,10,65,33,13,False,rfft_log1p_abs_per_sample_channel_zscore,row_zscore_sum,0.42246475670759437,0.3601637107776262,0.04047294224647567,0.17689859026830376,0.53706230104593,0.9962412786956752,1.093247652053833,0.7712596634834016
time_ed_1nn,RacketSports,1,0.35526315789473684,4,152,4,30,16,6,False,rfft_log1p_abs_per_sample_channel_zscore,,0.25,0.10526315789473684,0.25,0.39473684210526316,0.5855263157894737,,,
fft_ed_1nn,RacketSports,1,0.5,4,152,4,30,16,6,False,rfft_log1p_abs_per_sample_channel_zscore,,0.25,0.10526315789473684,0.25,0.39473684210526316,0.5855263157894737,,,
time_fft_ed_1nn,RacketSports,1,0.4276315789473684,4,152,4,30,16,6,False,rfft_log1p_abs_per_sample_channel_zscore,row_zscore_sum,0.25,0.10526315789473684,0.25,0.39473684210526316,0.5855263157894737,,,
time_proto,RacketSports,1,0.35526315789473684,4,152,4,30,16,6,False,rfft_log1p_abs_per_sample_channel_zscore,,0.25,0.10526315789473684,0.25,0.39473684210526316,0.5855263157894737,-1046.6403615851152,-1709.09228515625,0.35526315789473684
fft_proto,RacketSports,1,0.5,4,152,4,30,16,6,False,rfft_log1p_abs_per_sample_channel_zscore,,0.25,0.10526315789473684,0.25,0.39473684210526316,0.5855263157894737,-4.785393815291555,-0.2910003662109375,0.5
time_fft_proto,RacketSports,1,0.4276315789473684,4,152,4,30,16,6,False,rfft_log1p_abs_per_sample_channel_zscore,row_zscore_sum,0.25,0.10526315789473684,0.25,0.39473684210526316,0.5855263157894737,-0.5224645135826186,-0.5502077341079712,0.4276315789473684
time_ed_1nn,RacketSports,10,0.6907894736842105,40,152,4,30,16,6,False,rfft_log1p_abs_per_sample_channel_zscore,,0.39473684210526316,0.29605263157894735,0.11842105263157894,0.19078947368421054,0.4934210526315789,,,
fft_ed_1nn,RacketSports,10,0.5131578947368421,40,152,4,30,16,6,False,rfft_log1p_abs_per_sample_channel_zscore,,0.39473684210526316,0.29605263157894735,0.11842105263157894,0.19078947368421054,0.4934210526315789,,,
time_fft_ed_1nn,RacketSports,10,0.6447368421052632,40,152,4,30,16,6,False,rfft_log1p_abs_per_sample_channel_zscore,row_zscore_sum,0.39473684210526316,0.29605263157894735,0.11842105263157894,0.19078947368421054,0.4934210526315789,,,
time_proto,RacketSports,10,0.5592105263157895,40,152,4,30,16,6,False,rfft_log1p_abs_per_sample_channel_zscore,,0.3355263157894737,0.2236842105263158,0.23684210526315788,0.20394736842105263,0.5394736842105263,151.16791574578536,327.7830810546875,0.5592105263157895
fft_proto,RacketSports,10,0.5723684210526315,40,152,4,30,16,6,False,rfft_log1p_abs_per_sample_channel_zscore,,0.3355263157894737,0.2236842105263158,0.23684210526315788,0.20394736842105263,0.5394736842105263,0.3003343531959935,2.635211944580078,0.5723684210526315
time_fft_proto,RacketSports,10,0.5986842105263158,40,152,4,30,16,6,False,rfft_log1p_abs_per_sample_channel_zscore,row_zscore_sum,0.3355263157894737,0.2236842105263158,0.23684210526315788,0.20394736842105263,0.5394736842105263,0.34529571384681684,0.8249600231647491,0.5986842105263158
time_ed_1nn,Heartbeat,1,0.7121951219512195,2,205,2,405,203,61,False,rfft_log1p_abs_per_sample_channel_zscore,,0.6292682926829268,0.08292682926829269,0.05853658536585366,0.22926829268292684,0.14146341463414633,,,
fft_ed_1nn,Heartbeat,1,0.6878048780487804,2,205,2,405,203,61,False,rfft_log1p_abs_per_sample_channel_zscore,,0.6292682926829268,0.08292682926829269,0.05853658536585366,0.22926829268292684,0.14146341463414633,,,
time_fft_ed_1nn,Heartbeat,1,0.7073170731707317,2,205,2,405,203,61,False,rfft_log1p_abs_per_sample_channel_zscore,row_zscore_sum,0.6292682926829268,0.08292682926829269,0.05853658536585366,0.22926829268292684,0.14146341463414633,,,
time_proto,Heartbeat,1,0.7121951219512195,2,205,2,405,203,61,False,rfft_log1p_abs_per_sample_channel_zscore,,0.6292682926829268,0.08292682926829269,0.05853658536585366,0.22926829268292684,0.14146341463414633,16702.912113543254,36235.391357421875,0.7121951219512195
fft_proto,Heartbeat,1,0.6878048780487804,2,205,2,405,203,61,False,rfft_log1p_abs_per_sample_channel_zscore,,0.6292682926829268,0.08292682926829269,0.05853658536585366,0.22926829268292684,0.14146341463414633,835.6295826981707,1109.763671875,0.6878048780487804
time_fft_proto,Heartbeat,1,0.7073170731707317,2,205,2,405,203,61,False,rfft_log1p_abs_per_sample_channel_zscore,row_zscore_sum,0.6292682926829268,0.08292682926829269,0.05853658536585366,0.22926829268292684,0.14146341463414633,1.5999999863345449,3.9999998807907104,0.6780487804878049
time_ed_1nn,Heartbeat,10,0.6195121951219512,20,205,2,405,203,61,False,rfft_log1p_abs_per_sample_channel_zscore,,0.22439024390243903,0.3951219512195122,0.18536585365853658,0.1951219512195122,0.5804878048780487,,,
fft_ed_1nn,Heartbeat,10,0.4097560975609756,20,205,2,405,203,61,False,rfft_log1p_abs_per_sample_channel_zscore,,0.22439024390243903,0.3951219512195122,0.18536585365853658,0.1951219512195122,0.5804878048780487,,,
time_fft_ed_1nn,Heartbeat,10,0.4,20,205,2,405,203,61,False,rfft_log1p_abs_per_sample_channel_zscore,row_zscore_sum,0.22439024390243903,0.3951219512195122,0.18536585365853658,0.1951219512195122,0.5804878048780487,,,
time_proto,Heartbeat,10,0.7219512195121951,20,205,2,405,203,61,False,rfft_log1p_abs_per_sample_channel_zscore,,0.4878048780487805,0.23414634146341465,0.13658536585365855,0.14146341463414633,0.37073170731707317,421.0790557116997,831.8060302734375,0.7219512195121951
fft_proto,Heartbeat,10,0.624390243902439,20,205,2,405,203,61,False,rfft_log1p_abs_per_sample_channel_zscore,,0.4878048780487805,0.23414634146341465,0.13658536585365855,0.14146341463414633,0.37073170731707317,185.83319359756098,261.029296875,0.624390243902439
time_fft_proto,Heartbeat,10,0.7121951219512195,20,205,2,405,203,61,False,rfft_log1p_abs_per_sample_channel_zscore,row_zscore_sum,0.4878048780487805,0.23414634146341465,0.13658536585365855,0.14146341463414633,0.37073170731707317,1.3853658431913796,5.960464477539063e-08,0.5414634146341464
time_ed_1nn,JapaneseVowels,1,0.7405405405405405,9,370,9,25,13,12,False,rfft_log1p_abs_per_sample_channel_zscore,,0.2918918918918919,0.4486486486486487,0.04864864864864865,0.21081081081081082,0.6378378378378379,,,
fft_ed_1nn,JapaneseVowels,1,0.34054054054054056,9,370,9,25,13,12,False,rfft_log1p_abs_per_sample_channel_zscore,,0.2918918918918919,0.4486486486486487,0.04864864864864865,0.21081081081081082,0.6378378378378379,,,
time_fft_ed_1nn,JapaneseVowels,1,0.5459459459459459,9,370,9,25,13,12,False,rfft_log1p_abs_per_sample_channel_zscore,row_zscore_sum,0.2918918918918919,0.4486486486486487,0.04864864864864865,0.21081081081081082,0.6378378378378379,,,
