dataset,shot,base_seed,seed,model,accuracy,elapsed_sec,status,rho_mean,rho_min,rho_max,pressure_mean,boundary_mean,crowding_mean,compactness_mean
BasicMotions,1,10,9782,cosco,1.0,0.32,ok,,,,,,,
BasicMotions,1,10,9782,cosco_dynamic_rho,1.0,0.37,ok,0.1,0.1,0.1,0.0,,,
BasicMotions,1,10,9782,cosco_geometry_rho,1.0,0.37,ok,0.11499999999999999,0.11499999999999999,0.11499999999999999,0.6311103971266747,0.0,0.6115593791007996,0.0
BasicMotions,1,20,9792,cosco,1.0,0.36,ok,,,,,,,
BasicMotions,1,20,9792,cosco_dynamic_rho,1.0,0.38,ok,0.1,0.1,0.1,0.0,,,
BasicMotions,1,20,9792,cosco_geometry_rho,1.0,0.48,ok,0.11499999999999999,0.11499999999999999,0.11499999999999999,0.6110141734671592,0.0,0.5900425672531128,0.0
BasicMotions,1,30,9802,cosco,1.0,0.4,ok,,,,,,,
BasicMotions,1,30,9802,cosco_dynamic_rho,1.0,0.4,ok,0.1,0.1,0.1,0.0,,,
BasicMotions,1,30,9802,cosco_geometry_rho,1.0,0.39,ok,0.11499999999999999,0.11499999999999999,0.11499999999999999,0.6584560035908222,0.0,0.5958313584327698,0.0
BasicMotions,10,10,10502,cosco,1.0,1.94,ok,,,,,,,
BasicMotions,10,10,10502,cosco_dynamic_rho,1.0,2.45,ok,0.10985375046730042,0.10759171172976495,0.11127470210194589,0.3941500186920166,,,
BasicMotions,10,10,10502,cosco_geometry_rho,1.0,2.03,ok,0.11499999999999999,0.11499999999999999,0.11499999999999999,0.3450851923161745,0.09890218079090118,0.6291612029075623,0.35017840266227723
BasicMotions,10,20,10512,cosco,1.0,1.82,ok,,,,,,,
BasicMotions,10,20,10512,cosco_dynamic_rho,1.0,1.83,ok,0.11029091194272041,0.10806858912110329,0.11177047789096833,0.4116364777088165,,,
BasicMotions,10,20,10512,cosco_geometry_rho,1.0,2.24,ok,0.11499999999999999,0.11499999999999999,0.11499999999999999,0.3631317645841837,0.116471329331398,0.6625201821327209,0.3775231122970581
BasicMotions,10,30,10522,cosco,1.0,2.32,ok,,,,,,,
BasicMotions,10,30,10522,cosco_dynamic_rho,1.0,1.82,ok,0.1085331056267023,0.10579666458070279,0.11062440425157548,0.34132422506809235,,,
BasicMotions,10,30,10522,cosco_geometry_rho,1.0,1.89,ok,0.11499999999999999,0.11499999999999999,0.11499999999999999,0.31372758615612983,0.05972915701568127,0.5937743127346039,0.3148355096578598
