dataset,shot,base_seed,seed,model,accuracy,elapsed_sec,status,rho_mean,rho_min,rho_max,pressure_mean,boundary_mean,crowding_mean,compactness_mean
RacketSports,1,10,9924,cosco,0.4276315789473684,0.2,ok,,,,,,,
RacketSports,1,10,9924,cosco_dynamic_rho,0.4276315789473684,0.27,ok,0.1,0.1,0.1,0.0,,,
RacketSports,1,10,9924,cosco_geometry_rho,0.4342105263157895,0.29,ok,0.11499999999999999,0.11499999999999999,0.11499999999999999,0.45368477302670474,0.0,0.46178152561187746,0.0
RacketSports,1,20,9934,cosco,0.3684210526315789,0.27,ok,,,,,,,
RacketSports,1,20,9934,cosco_dynamic_rho,0.3684210526315789,0.22,ok,0.1,0.1,0.1,0.0,,,
RacketSports,1,20,9934,cosco_geometry_rho,0.40131578947368424,0.23,ok,0.11499999999999999,0.11499999999999999,0.11499999999999999,0.5020418629920482,0.0,0.5097442269325256,0.0
RacketSports,1,30,9944,cosco,0.4407894736842105,0.27,ok,,,,,,,
RacketSports,1,30,9944,cosco_dynamic_rho,0.4407894736842105,0.38,ok,0.1,0.1,0.1,0.0,,,
RacketSports,1,30,9944,cosco_geometry_rho,0.4407894736842105,0.35,ok,0.11499999999999999,0.11499999999999999,0.11499999999999999,0.4567579426574707,0.0,0.46353864669799805,0.0
RacketSports,10,10,10644,cosco,0.6381578947368421,0.99,ok,,,,,,,
RacketSports,10,10,10644,cosco_dynamic_rho,0.6118421052631579,0.8,ok,0.11499999999999999,0.11499999999999999,0.11499999999999999,0.860965096950531,,,
RacketSports,10,10,10644,cosco_geometry_rho,0.6118421052631579,0.72,ok,0.11499999999999999,0.11499999999999999,0.11499999999999999,0.7240870152771473,0.7263192415237427,0.5929162740707398,0.8339484810829163
RacketSports,10,20,10654,cosco,0.5723684210526315,0.73,ok,,,,,,,
RacketSports,10,20,10654,cosco_dynamic_rho,0.5789473684210527,0.75,ok,0.11499999999999999,0.11499999999999999,0.11499999999999999,0.8744610667228698,,,
RacketSports,10,20,10654,cosco_geometry_rho,0.5789473684210527,0.75,ok,0.11499999999999999,0.11499999999999999,0.11499999999999999,0.7088103071308136,0.6992604255676269,0.5874808549880981,0.8197773098945618
RacketSports,10,30,10664,cosco,0.6710526315789473,0.77,ok,,,,,,,
RacketSports,10,30,10664,cosco_dynamic_rho,0.6842105263157895,0.76,ok,0.11499999999999999,0.11499999999999999,0.11499999999999999,0.8659886717796326,,,
RacketSports,10,30,10664,cosco_geometry_rho,0.6842105263157895,0.76,ok,0.11499999999999999,0.11499999999999999,0.11499999999999999,0.7151754136228562,0.7535598397254943,0.5351419448852539,0.8475454211235046
