dataset,shot,base_seed,seed,model,accuracy,elapsed_sec,status,rho_mean,rho_min,rho_max,pressure_mean,boundary_mean,crowding_mean,compactness_mean
RacketSports,1,10,9924,cosco,0.4276315789473684,0.21,ok,,,,,,,
RacketSports,1,10,9924,cosco_geometry_rho,0.4342105263157895,0.23,ok,0.11487200005440293,0.11485837457148329,0.11488486283537402,0.45384591576695443,0.0,0.462446928024292,0.0
RacketSports,1,20,9934,cosco,0.3684210526315789,0.22,ok,,,,,,,
RacketSports,1,20,9934,cosco_geometry_rho,0.40131578947368424,0.23,ok,0.11499960121529766,0.11499908340560305,0.11499999176102485,0.5020418689036369,0.0,0.5097442269325256,0.0
RacketSports,1,30,9944,cosco,0.4407894736842105,0.21,ok,,,,,,,
RacketSports,1,30,9944,cosco_geometry_rho,0.4473684210526316,0.24,ok,0.11488817610414312,0.11487550441802319,0.11489663278445501,0.45685356120944026,0.0,0.4641343653202057,0.0
RacketSports,10,10,10644,cosco,0.6381578947368421,0.69,ok,,,,,,,
RacketSports,10,10,10644,cosco_geometry_rho,0.6381578947368421,0.63,ok,0.10677454584236527,0.10638879139475921,0.10749305065069846,0.7232687604582309,0.718156635761261,0.5933225750923157,0.8295734643936157
RacketSports,10,20,10654,cosco,0.5723684210526315,0.55,ok,,,,,,,
RacketSports,10,20,10654,cosco_geometry_rho,0.5723684210526315,0.55,ok,0.10823983311479346,0.10783183570453288,0.10900545630271047,0.7082100762474537,0.6932413935661316,0.5876405477523804,0.8166760683059693
RacketSports,10,30,10664,cosco,0.6710526315789473,0.59,ok,,,,,,,
RacketSports,10,30,10664,cosco_geometry_rho,0.6644736842105263,0.75,ok,0.1076188920054794,0.1074303506303538,0.1080154933210489,0.714634306653738,0.7483201384544372,0.5357093811035156,0.8445466160774231
