dataset,shot,base_seed,cosco,cosco_geometry_rho,cosco_geometry_rho_minus_cosco
Heartbeat,1,10,0.7268292682926829,0.7317073170731707,0.004878048780487809
Heartbeat,1,20,0.7414634146341463,0.7414634146341463,0.0
Heartbeat,1,30,0.7365853658536585,0.7365853658536585,0.0
Heartbeat,10,10,0.7170731707317073,0.7170731707317073,0.0
Heartbeat,10,20,0.7317073170731707,0.7317073170731707,0.0
Heartbeat,10,30,0.7317073170731707,0.7365853658536585,0.004878048780487809
RacketSports,1,10,0.5,0.4605263157894737,-0.03947368421052633
RacketSports,1,20,0.45394736842105265,0.45394736842105265,0.0
RacketSports,1,30,0.5197368421052632,0.48026315789473684,-0.03947368421052633
RacketSports,10,10,0.7763157894736842,0.7631578947368421,-0.013157894736842035
RacketSports,10,20,0.7631578947368421,0.75,-0.013157894736842146
RacketSports,10,30,0.7960526315789473,0.7894736842105263,-0.006578947368421018
