dataset,shot,base_seed,seed,model,accuracy,elapsed_sec,status,rho_mean,rho_min,rho_max,pressure_mean,boundary_mean,crowding_mean,compactness_mean
RacketSports,1,10,9924,cosco,0.5,0.98,ok,,,,,,,
RacketSports,1,10,9924,cosco_geometry_rho,0.4605263157894737,1.22,ok,0.11457713645632354,0.11403509578791149,0.11488486283537402,0.42114231257048346,0.0,0.3976734340190887,0.0
RacketSports,1,20,9934,cosco,0.45394736842105265,0.95,ok,,,,,,,
RacketSports,1,20,9934,cosco_geometry_rho,0.45394736842105265,1.08,ok,0.11478763727378087,0.11422191061594913,0.11499999176102485,0.45665608459281454,0.0,0.4226039091746012,0.0
RacketSports,1,30,9944,cosco,0.5197368421052632,1.1,ok,,,,,,,
RacketSports,1,30,9944,cosco_geometry_rho,0.48026315789473684,1.12,ok,0.11457160300252947,0.11406613218576667,0.11489663278445501,0.42063451555977927,0.0,0.3968726376692454,0.0
RacketSports,10,10,10644,cosco,0.7763157894736842,4.95,ok,,,,,,,
RacketSports,10,10,10644,cosco_geometry_rho,0.7631578947368421,4.54,ok,0.11222710186167267,0.10638879139475921,0.11499438361910626,0.5180827956022453,0.2584013139208158,0.498478294412295,0.5076740463574727
RacketSports,10,20,10654,cosco,0.7631578947368421,5.36,ok,,,,,,,
RacketSports,10,20,10654,cosco_geometry_rho,0.75,4.52,ok,0.11296148305057643,0.10783183570453288,0.11499766613393198,0.5262961746354307,0.29926614090800285,0.5070005744695664,0.5316696713368098
RacketSports,10,30,10664,cosco,0.7960526315789473,5.73,ok,,,,,,,
RacketSports,10,30,10664,cosco_geometry_rho,0.7894736842105263,7.28,ok,0.11233305212332659,0.1074303506303538,0.11499540465836121,0.5283153192872122,0.29823795836418865,0.46650354862213134,0.5336377958456675
Heartbeat,1,10,5845,cosco,0.7268292682926829,5.97,ok,,,,,,,
Heartbeat,1,10,5845,cosco_geometry_rho,0.7317073170731707,6.42,ok,0.10975471424294407,0.10895790711281138,0.11046799773836294,0.2046751170816358,0.0,0.19192460079987844,0.0
Heartbeat,1,20,5855,cosco,0.7414634146341463,5.5,ok,,,,,,,
Heartbeat,1,20,5855,cosco_geometry_rho,0.7414634146341463,5.11,ok,0.11028740040326176,0.10944168414523583,0.11097675327283128,0.2201627118527791,0.0,0.2065373698870341,0.0
Heartbeat,1,30,5865,cosco,0.7365853658536585,5.08,ok,,,,,,,
Heartbeat,1,30,5865,cosco_geometry_rho,0.7365853658536585,5.84,ok,0.11048510092758859,0.10977649107131691,0.11103587337046661,0.2259850303890406,0.0,0.21457954943180085,0.0
Heartbeat,10,10,6421,cosco,0.7170731707317073,30.97,ok,,,,,,,
Heartbeat,10,10,6421,cosco_geometry_rho,0.7170731707317073,30.22,ok,0.11484491944159929,0.11469597855128211,0.11495636997619818,0.5478421115313885,0.57838902870814,0.4017325798670451,0.7489112913608551
Heartbeat,10,20,6431,cosco,0.7317073170731707,27.85,ok,,,,,,,
Heartbeat,10,20,6431,cosco_geometry_rho,0.7317073170731707,27.92,ok,0.11477333334071706,0.11451441610207097,0.11496474754861233,0.5560505669944621,0.6026025036970775,0.39794823427995046,0.7691259026527405
Heartbeat,10,30,6441,cosco,0.7317073170731707,25.88,ok,,,,,,,
Heartbeat,10,30,6441,cosco_geometry_rho,0.7365853658536585,25.53,ok,0.11489014230978238,0.11480760489024938,0.11496042985104965,0.5412466791949285,0.5607004900773366,0.39429997901121777,0.7397587696711222
