dataset,shot,base_seed,seed,model,accuracy,elapsed_sec,status,rho_mean,rho_min,rho_max,pressure_mean,boundary_mean,crowding_mean,compactness_mean
JapaneseVowels,1,10,12844,cosco,0.654054054054054,2.28,ok,,,,,,,
JapaneseVowels,1,10,12844,cosco_geometry_rho,0.6405405405405405,2.53,ok,0.10702729842708067,0.10378379587689489,0.10963113614617595,0.4151941290620677,0.0,0.3985788404941559,0.0
JapaneseVowels,1,20,12854,cosco,0.7162162162162162,2.18,ok,,,,,,,
JapaneseVowels,1,20,12854,cosco_geometry_rho,0.7567567567567568,2.4,ok,0.10811561361124523,0.10182249997388204,0.1136447079192165,0.404177256167472,0.0,0.3702336390813192,0.0
JapaneseVowels,1,30,12864,cosco,0.7567567567567568,2.54,ok,,,,,,,
JapaneseVowels,1,30,12864,cosco_geometry_rho,0.7594594594594595,3.07,ok,0.1089359505842348,0.10383025406555527,0.11337179283923651,0.39651107529191637,0.0,0.36879296600818634,0.0
JapaneseVowels,10,10,13660,cosco,0.8918918918918919,10.4,ok,,,,,,,
JapaneseVowels,10,10,13660,cosco_geometry_rho,0.8837837837837837,11.76,ok,0.10573508108531023,0.08933756473219275,0.11358024717892837,0.36647839245746183,0.12081920228277644,0.3873969942331314,0.40403916041056315
JapaneseVowels,10,20,13670,cosco,0.9054054054054054,16.28,ok,,,,,,,
JapaneseVowels,10,20,13670,cosco_geometry_rho,0.8972972972972973,11.67,ok,0.10311382552473568,0.08248312465445434,0.1133892198520694,0.3931187132337875,0.13566058863264818,0.3851864089568456,0.41618781685829165
JapaneseVowels,10,30,13680,cosco,0.9243243243243243,10.64,ok,,,,,,,
JapaneseVowels,10,30,13680,cosco_geometry_rho,0.927027027027027,9.47,ok,0.10370596147295505,0.08421161245485284,0.11346814313203757,0.3900690061228628,0.13998588298757872,0.38858978152275087,0.41582094331582387
