dataset,shot,base_seed,seed,model,accuracy,elapsed_sec,status,rho_mean,rho_min,rho_max,pressure_mean,boundary_mean,crowding_mean,compactness_mean
RacketSports,1,10,9924,cosco_geometry_rho,0.46710526315789475,1.51,ok,0.10646180152201838,0.10275427524111105,0.1112100544862405,0.42029650119924444,0.0,0.3972756008307139,0.0
RacketSports,1,20,9934,cosco_geometry_rho,0.4473684210526316,1.48,ok,0.10343981662661424,0.09756217431115899,0.11000014161663577,0.4479814768716681,0.0,0.4140879958868027,0.0
RacketSports,1,30,9944,cosco_geometry_rho,0.5263157894736842,1.76,ok,0.10827207572749255,0.10258910625443679,0.11360787463453302,0.40197627975850214,0.0,0.3681862692038218,0.0
RacketSports,10,10,10644,cosco_geometry_rho,0.7828947368421053,4.96,ok,0.09741846045558233,0.07500000000000001,0.11341973851125449,0.47075306015920615,0.19805633872747422,0.4475329488515854,0.4399750307202339
RacketSports,10,20,10654,cosco_geometry_rho,0.8026315789473685,4.68,ok,0.09670360710202643,0.07500000000000001,0.11361998968928198,0.49019773943064243,0.2408260462184747,0.4715431292851766,0.4740501393874486
RacketSports,10,30,10664,cosco_geometry_rho,0.8223684210526315,4.52,ok,0.0965563417741118,0.07500000000000001,0.11356751313825562,0.47836912733952286,0.22758364093800384,0.423328760266304,0.4589124446113904
Heartbeat,1,10,5845,cosco_geometry_rho,0.7317073170731707,4.89,ok,0.10975471424294407,0.10895790711281138,0.11046799773836294,0.2046751170816358,0.0,0.19192460079987844,0.0
Heartbeat,1,20,5855,cosco_geometry_rho,0.7414634146341463,4.53,ok,0.11028740040326176,0.10944168414523583,0.11097675327283128,0.2201627118527791,0.0,0.2065373698870341,0.0
Heartbeat,1,30,5865,cosco_geometry_rho,0.7365853658536585,4.2,ok,0.11048510092758859,0.10977649107131691,0.11103587337046661,0.2259850303890406,0.0,0.21457954943180085,0.0
Heartbeat,10,10,6421,cosco_geometry_rho,0.7268292682926829,24.8,ok,0.09258058334919686,0.09061826975362117,0.09453721204934529,0.5432534154901841,0.5621724526087443,0.39771515429019927,0.7393592933813731
Heartbeat,10,20,6431,cosco_geometry_rho,0.7317073170731707,31.67,ok,0.09198171954174376,0.089336178849171,0.09486021961666535,0.5481341527420598,0.5742288748423259,0.3943591396013896,0.7520730296770731
Heartbeat,10,30,6441,cosco_geometry_rho,0.7317073170731707,33.26,ok,0.0934962279746437,0.09221750165362425,0.09468957057288427,0.5356760701455415,0.5455401023228963,0.39133200446764627,0.7302361071109772
