dataset,shot,cosco,margin_only,geometry_only,combination,combination_std,combination_minus_cosco,strict_synergy
Epilepsy,1,0.548309,0.548309,0.565217,0.565217,0.085434,0.016908,0.000000
Epilepsy,10,0.920290,0.915459,0.917874,0.922705,0.008367,0.002415,0.009662
Heartbeat,1,0.734959,0.734959,0.736585,0.736585,0.004878,0.001626,0.000000
Heartbeat,10,0.726829,0.725203,0.730081,0.730081,0.007451,0.003252,0.001626
JapaneseVowels,1,0.709009,0.709009,0.718919,0.718919,0.067891,0.009910,0.000000
JapaneseVowels,10,0.907207,0.909009,0.902703,0.906306,0.013869,-0.000901,0.001802
NATOPS,1,0.659259,0.659259,0.648148,0.648148,0.016973,-0.011111,0.000000
NATOPS,10,0.914815,0.916667,0.896296,0.892593,0.017859,-0.022222,-0.005556
RacketSports,1,0.491228,0.491228,0.480263,0.480263,0.041086,-0.010965,0.000000
RacketSports,10,0.778509,0.793860,0.802632,0.813596,0.021148,0.035088,-0.004386
