dataset,shot,model,accuracy_mean,accuracy_std,successful_runs,elapsed_mean_sec,rho_mean,pressure_mean,boundary_mean,crowding_mean,compactness_mean,margin_loss_mean,margin_active_rate,margin_gap_mean
Heartbeat,1,cosco,0.734959349593496,0.007451342593424133,3,5.406666666666666,,,,,,,,
Heartbeat,1,cosco_geometry_rho,0.7365853658536586,0.004878048780487809,3,5.153333333333333,0.11017573852459815,0.2169409531078185,0.0,0.20434717337290445,0.0,,,
Heartbeat,1,cosco_proto_margin,0.734959349593496,0.007451342593424133,3,5.013333333333333,,,,,,0.0,0.0,6.8147908104790575
Heartbeat,1,cosco_proto_margin_geometry_rho,0.7365853658536586,0.004878048780487809,3,4.93,0.11017573852459815,0.2169409531078185,0.0,0.20434717337290445,0.0,0.0,0.0,6.8052193005879715
Heartbeat,10,cosco,0.726829268292683,0.008449028329604287,3,30.043333333333333,,,,,,,,
Heartbeat,10,cosco_geometry_rho,0.7300813008130081,0.0028163427765347544,3,30.810000000000002,0.09268617695519477,0.5423545461259285,0.5606471432579888,0.394468766119745,0.7405561433898078,,,
Heartbeat,10,cosco_proto_margin,0.7219512195121952,0.004878048780487809,3,29.47,,,,,,0.3721656379600366,0.3816666629579332,0.30668465776575937
Heartbeat,10,cosco_proto_margin_geometry_rho,0.7219512195121952,0.004878048780487809,3,30.12,0.09059584260188104,0.5593795747781157,0.5940532035297817,0.40782860484388134,0.7642628762457105,0.36716840929455224,0.37388888630602096,0.32996416009134716
JapaneseVowels,1,cosco,0.709009009009009,0.051729287279119296,3,2.47,,,,,,,,
JapaneseVowels,1,cosco_geometry_rho,0.718918918918919,0.06789111722746197,3,2.4499999999999997,0.10802628754085357,0.4052941535071521,0.0,0.37920181519455376,0.0,,,
JapaneseVowels,1,cosco_proto_margin,0.709009009009009,0.051729287279119296,3,2.51,,,,,,0.0,0.0,7.6840787092844645
JapaneseVowels,1,cosco_proto_margin_geometry_rho,0.718918918918919,0.06789111722746197,3,2.3266666666666667,0.10802628754085357,0.4052941535071521,0.0,0.37920181519455376,0.0,0.0,0.0,7.601871511671278
JapaneseVowels,10,cosco,0.9072072072072072,0.016291118306328886,3,9.49,,,,,,,,
JapaneseVowels,10,cosco_geometry_rho,0.9027027027027027,0.022122575059114722,3,9.299999999999999,0.10418495602766698,0.38322203727137066,0.13215522463433446,0.38705772823757595,0.4120159735282262,,,
JapaneseVowels,10,cosco_proto_margin,0.9099099099099099,0.01125224864576284,3,9.023333333333333,,,,,,0.009573703426495841,0.01641975356679824,5.234406648741828
JapaneseVowels,10,cosco_proto_margin_geometry_rho,0.9090090090090089,0.01023226728973014,3,9.85,0.10430899532948529,0.37892104534591065,0.12138630126331311,0.38796518312560185,0.40785181025664013,0.006639867607090209,0.013086420111358165,5.45318777428733
RacketSports,1,cosco,0.4912280701754386,0.033760535785834746,3,2.31,,,,,,,,
RacketSports,1,cosco_geometry_rho,0.4802631578947369,0.041085513147357866,3,2.8266666666666667,0.10605789795870839,0.42341808594313823,0.0,0.3931832886404461,0.0,,,
RacketSports,1,cosco_proto_margin,0.4912280701754386,0.033760535785834746,3,2.67,,,,,,0.0,0.0,5.627716345257229
RacketSports,1,cosco_proto_margin_geometry_rho,0.4802631578947369,0.041085513147357866,3,2.733333333333333,0.10605789795870839,0.42341808594313823,0.0,0.3931832886404461,0.0,0.0,0.0,5.621491516960991
RacketSports,10,cosco,0.7785087719298245,0.016556654463313003,3,5.96,,,,,,,,
RacketSports,10,cosco_geometry_rho,0.8026315789473685,0.019736842105263067,3,6.19,0.09689280311057352,0.47977330897645715,0.2221553419613176,0.4474682794676887,0.4576458715730243,,,
RacketSports,10,cosco_proto_margin,0.8026315789473685,0.01740625862542487,3,5.616666666666667,,,,,,0.06047717035075442,0.07777777895745304,2.3866847614447275
RacketSports,10,cosco_proto_margin_geometry_rho,0.8070175438596491,0.015193428136569122,3,6.386666666666667,0.09725030303311062,0.47210609795319297,0.2078293412302931,0.4442550278372235,0.44698161284128823,0.05829954109891938,0.06777777899470594,2.8938573054141465
