dataset,shot,base_seed,seed,model,accuracy,elapsed_sec,status,rho_mean,rho_min,rho_max,pressure_mean,boundary_mean,crowding_mean,compactness_mean,margin_loss_mean,margin_active_rate,margin_gap_mean
RacketSports,10,10,10644,cosco_proto_margin,0.7697368421052632,3.56,ok,,,,,,,,0.08578873674074809,0.07083333438883226,2.490714904665947
RacketSports,10,10,10644,cosco_proto_margin_geometry_rho,0.7894736842105263,5.37,ok,0.09771108068318318,0.07500000000000001,0.11362039418995405,0.46609520348739525,0.19153082476307948,0.4462760289510091,0.4332859545946121,0.08287203436096509,0.06250000136593978,3.0499864677588144
RacketSports,10,20,10654,cosco_proto_margin,0.8092105263157895,6.37,ok,,,,,,,,0.08634235174395144,0.1200000012293458,2.170960519214471
RacketSports,10,20,10654,cosco_proto_margin_geometry_rho,0.8289473684210527,4.67,ok,0.09698928660960139,0.07500000000000001,0.11361806080793171,0.4808731764781028,0.2205598015959064,0.4643369783957799,0.45871061633030574,0.07638683964808782,0.1008333345875144,2.6275836671392123
RacketSports,10,30,10664,cosco_proto_margin,0.8026315789473685,4.84,ok,,,,,,,,0.0394261060282588,0.053333334252238275,2.3201021323601405
RacketSports,10,30,10664,cosco_proto_margin_geometry_rho,0.8223684210526315,4.68,ok,0.09655065324604578,0.07500000000000001,0.11356435080590328,0.4783410842321294,0.2262061145156622,0.42570446530977885,0.4593179628252983,0.04707001559436321,0.05083333421498537,2.911248764395714
Heartbeat,10,10,6421,cosco_proto_margin,0.7317073170731707,27.96,ok,,,,,,,,0.444255331158638,0.3949999938408534,0.30410572985808054
Heartbeat,10,10,6421,cosco_proto_margin_geometry_rho,0.7365853658536585,28.99,ok,0.09162059925370805,0.08895272285372975,0.09453721204934529,0.5511096486103612,0.5756174981594085,0.4053174704313278,0.7502361019452413,0.4369190126657486,0.3916666607062022,0.3222436189651489
Heartbeat,10,20,6431,cosco_proto_margin,0.7219512195121951,29.86,ok,,,,,,,,0.40939052527149516,0.37666666209697724,0.3074916551510493
Heartbeat,10,20,6431,cosco_proto_margin_geometry_rho,0.7317073170731707,25.51,ok,0.09078594510490536,0.08745687026584559,0.09486021961666535,0.5578420088184444,0.592787625392278,0.40324136714140574,0.7652356386184692,0.43514453768730166,0.38666666150093076,0.3178573211034139
Heartbeat,10,30,6441,cosco_proto_margin,0.7219512195121951,29.06,ok,,,,,,,,0.40973404546578723,0.3816666632890701,0.3583408176898956
Heartbeat,10,30,6441,cosco_proto_margin_geometry_rho,0.7219512195121951,30.46,ok,0.09223505832837567,0.09019886931141884,0.09468957057288427,0.5460945771304492,0.5673738857110341,0.3988902042309443,0.7462080121040344,0.3949741244316101,0.3783333311478297,0.37625374297300973
JapaneseVowels,10,10,13660,cosco_proto_margin,0.8945945945945946,9.23,ok,,,,,,,,0.017880587140098214,0.021481482218950985,5.417521651585897
JapaneseVowels,10,10,13660,cosco_proto_margin_geometry_rho,0.8945945945945946,9.44,ok,0.10578437724229062,0.08933756473219275,0.11351897236804041,0.3641722364236221,0.11489751922587553,0.38873925507068635,0.4027242660522461,0.016346890066051854,0.018888889501492184,5.533263059457143
JapaneseVowels,10,20,13670,cosco_proto_margin,0.9054054054054054,9.23,ok,,,,,,,,0.00816002677893266,0.01814814858759443,5.158079234759013
JapaneseVowels,10,20,13670,cosco_proto_margin_geometry_rho,0.9027027027027027,9.23,ok,0.10317189646911575,0.08248312465445434,0.11354043683870274,0.39085855759894106,0.13106955035279194,0.3850354254245758,0.41245303153991697,0.005164925283558356,0.01592592631156246,5.437364673614502
JapaneseVowels,10,30,13680,cosco_proto_margin,0.927027027027027,9.91,ok,,,,,,,,0.01319473759115984,0.02222222282240788,5.099271555741628
JapaneseVowels,10,30,13680,cosco_proto_margin_geometry_rho,0.9216216216216216,8.96,ok,0.10382037723230311,0.08421161245485284,0.11362833021984904,0.3885319280893473,0.13391913020362456,0.3923659672339757,0.41559504469235736,0.005211380876911183,0.014814815204590558,5.336288392543793
