dataset,shot,base_seed,seed,model,accuracy,elapsed_sec,status,rho_mean,rho_min,rho_max,pressure_mean,boundary_mean,crowding_mean,compactness_mean,margin_loss_mean,margin_active_rate,margin_gap_mean
Epilepsy,1,10,5012,cosco,0.6376811594202898,2.47,ok,,,,,,,,,,
Epilepsy,1,10,5012,cosco_proto_margin,0.6376811594202898,2.52,ok,,,,,,,,0.0,0.0,6.095356074968974
Epilepsy,1,10,5012,cosco_geometry_rho,0.6594202898550725,2.5,ok,0.10379519672001569,0.09683059762007859,0.11039824806377936,0.4446271039728343,0.0,0.4072145233551661,0.0,,,
Epilepsy,1,10,5012,cosco_proto_margin_geometry_rho,0.6594202898550725,2.41,ok,0.10379519672001569,0.09683059762007859,0.11039824806377936,0.4446271039728343,0.0,0.4072145233551661,0.0,0.0,0.0,6.207206384340922
Epilepsy,1,20,5022,cosco,0.463768115942029,2.47,ok,,,,,,,,,,
Epilepsy,1,20,5022,cosco_proto_margin,0.463768115942029,2.45,ok,,,,,,,,0.0,0.0,7.028559629122416
Epilepsy,1,20,5022,cosco_geometry_rho,0.4927536231884058,2.54,ok,0.10541787350566033,0.0919656965306971,0.11363995807094314,0.42564535377840224,0.0,0.3614589701096217,0.0,,,
Epilepsy,1,20,5022,cosco_proto_margin_geometry_rho,0.4927536231884058,2.62,ok,0.10541787350566033,0.0919656965306971,0.11363995807094314,0.42564535377840224,0.0,0.3614589701096217,0.0,0.0,0.0,6.805210757255554
Epilepsy,1,30,5032,cosco,0.5434782608695652,2.48,ok,,,,,,,,,,
Epilepsy,1,30,5032,cosco_proto_margin,0.5434782608695652,2.72,ok,,,,,,,,0.0,0.0,6.245456695556641
Epilepsy,1,30,5032,cosco_geometry_rho,0.5434782608695652,3.03,ok,0.1040138255199434,0.09362367215389844,0.11137203330525342,0.4418370303980526,0.0,0.39359593590100606,0.0,,,
Epilepsy,1,30,5032,cosco_proto_margin_geometry_rho,0.5434782608695652,2.95,ok,0.1040138255199434,0.09362367215389844,0.11137203330525342,0.4418370303980526,0.0,0.39359593590100606,0.0,0.0,0.0,6.288516680399577
Epilepsy,10,10,5540,cosco,0.9057971014492754,21.75,ok,,,,,,,,,,
Epilepsy,10,10,5540,cosco_proto_margin,0.9130434782608695,23.23,ok,,,,,,,,0.05368709612327317,0.04916666758557161,4.013062904278438
Epilepsy,10,10,5540,cosco_geometry_rho,0.8985507246376812,22.76,ok,0.1025617033854764,0.08318856938916533,0.11359133442262351,0.4173873507052847,0.16924677767480414,0.39925417204697927,0.47708478073279065,,,
Epilepsy,10,10,5540,cosco_proto_margin_geometry_rho,0.927536231884058,22.25,ok,0.10249459539358194,0.08318856938916533,0.11347569186433398,0.4121972758382522,0.1601850375494299,0.38928457299868263,0.4662190934022268,0.04542974635648231,0.041666667473812896,4.246224476893743
Epilepsy,10,20,5550,cosco,0.9202898550724637,22.84,ok,,,,,,,,,,
Epilepsy,10,20,5550,cosco_proto_margin,0.9202898550724637,25.26,ok,,,,,,,,0.024209350851985317,0.01583333369344473,4.569743919372558
