model,dataset,shot,accuracy,elapsed_sec,seed,status,cosco_variant
cosco,SpokenArabicDigits,1,0.3419736243747158,3.9,19509,ok,
cosco_weighted,SpokenArabicDigits,1,0.3337880854934061,2.1,19509,ok,weighted_close_gamma=1.0
cosco,SpokenArabicDigits,10,0.7548885857207822,2.2,20517,ok,
cosco_weighted,SpokenArabicDigits,10,0.7239654388358344,2.7,20517,ok,weighted_close_gamma=1.0
cosco,RacketSports,1,0.5,1.3,9924,ok,
cosco_weighted,RacketSports,1,0.4934210526315789,1.6,9924,ok,weighted_close_gamma=1.0
cosco,RacketSports,10,0.7960526315789473,1.6,10644,ok,
cosco_weighted,RacketSports,10,0.7960526315789473,1.7,10644,ok,weighted_close_gamma=1.0
cosco,Heartbeat,1,0.7268292682926829,1.3,5845,ok,
cosco_weighted,Heartbeat,1,0.7268292682926829,1.4,5845,ok,weighted_close_gamma=1.0
cosco,Heartbeat,10,0.6536585365853659,1.9,6421,ok,
cosco_weighted,Heartbeat,10,0.6487804878048781,2.0,6421,ok,weighted_close_gamma=1.0
cosco,JapaneseVowels,1,0.6675675675675675,1.7,12844,ok,
cosco_weighted,JapaneseVowels,1,0.6675675675675675,2.0,12844,ok,weighted_close_gamma=1.0
cosco,JapaneseVowels,10,0.9027027027027027,1.9,13660,ok,
cosco_weighted,JapaneseVowels,10,0.9,2.3,13660,ok,weighted_close_gamma=1.0
cosco,Libras,1,0.4222222222222222,2.0,3019,ok,
cosco_weighted,Libras,1,0.4222222222222222,2.7,3019,ok,weighted_close_gamma=1.0
cosco,Libras,10,0.8666666666666667,2.7,3451,ok,
cosco_weighted,Libras,10,0.8111111111111111,3.1,3451,ok,weighted_close_gamma=1.0
