model,dataset,shot,accuracy,elapsed_sec,seed,status,cosco_variant,rho_min,rho_mean,rho_max,rho_final,proto_stress_mean,proto_stress_final
cosco,SpokenArabicDigits,1,0.33560709413369716,2.1,19509,ok,,,,,,,
cosco_dynamic_rho,SpokenArabicDigits,1,0.341518872214643,1.9,19509,ok,dynamic_rho_proto_geometry_alpha=0.5,0.1,0.09999999999999998,0.1,0.1,0.0,0.0
cosco,SpokenArabicDigits,10,0.7548885857207822,2.2,20517,ok,,,,,,,
cosco_dynamic_rho,SpokenArabicDigits,10,0.7489768076398363,2.6,20517,ok,dynamic_rho_proto_geometry_alpha=0.5,0.11290885359048844,0.11936605677008628,0.13,0.11290885359048844,0.42728841066360473,0.2581770718097687
cosco,RacketSports,1,0.4934210526315789,1.2,9924,ok,,,,,,,
cosco_dynamic_rho,RacketSports,1,0.48026315789473684,1.3,9924,ok,dynamic_rho_proto_geometry_alpha=0.5,0.1,0.09999999999999998,0.1,0.1,0.0,0.0
cosco,RacketSports,10,0.7960526315789473,1.3,10644,ok,,,,,,,
cosco_dynamic_rho,RacketSports,10,0.8026315789473685,1.4,10644,ok,dynamic_rho_proto_geometry_alpha=0.5,0.10855711027979852,0.11416660932600499,0.13,0.10855711027979852,0.3054943540692329,0.17114220559597015
cosco,Heartbeat,1,0.7268292682926829,1.1,5845,ok,,,,,,,
cosco_dynamic_rho,Heartbeat,1,0.7268292682926829,1.2,5845,ok,dynamic_rho_proto_geometry_alpha=0.5,0.1,0.09999999999999998,0.1,0.1,0.0,0.0
cosco,Heartbeat,10,0.6536585365853659,1.8,6421,ok,,,,,,,
cosco_dynamic_rho,Heartbeat,10,0.6341463414634146,2.2,6421,ok,dynamic_rho_proto_geometry_alpha=0.5,0.11410036534070969,0.12456985501348973,0.13,0.11410036534070969,0.6206258592009545,0.2820073068141937
cosco,JapaneseVowels,1,0.6675675675675675,1.7,12844,ok,,,,,,,
cosco_dynamic_rho,JapaneseVowels,1,0.6675675675675675,1.9,12844,ok,dynamic_rho_proto_geometry_alpha=0.5,0.1,0.09999999999999998,0.1,0.1,0.0,0.0
cosco,JapaneseVowels,10,0.9027027027027027,1.8,13660,ok,,,,,,,
cosco_dynamic_rho,JapaneseVowels,10,0.9162162162162162,2.0,13660,ok,dynamic_rho_proto_geometry_alpha=0.5,0.11046589687466622,0.11485809661000969,0.13,0.11046589687466622,0.3027548550069332,0.20931793749332428
cosco,Libras,1,0.4222222222222222,2.1,3019,ok,,,,,,,
cosco_dynamic_rho,Libras,1,0.4166666666666667,2.4,3019,ok,dynamic_rho_proto_geometry_alpha=0.5,0.1,0.09999999999999998,0.1,0.1,0.0,0.0
cosco,Libras,10,0.8666666666666667,2.6,3451,ok,,,,,,,
cosco_dynamic_rho,Libras,10,0.85,3.1,3451,ok,dynamic_rho_proto_geometry_alpha=0.5,0.1181299924850464,0.1254657293200493,0.13,0.1181299924850464,0.604552344083786,0.36259984970092773
