model,model_key,dataset,shot,accuracy,elapsed_sec,seed,status,cosco_variant,rho_min,rho_mean,rho_max,rho_final,proto_stress_mean,proto_stress_final,fft_reg_lambda,fft_reg_loss_time_mean,fft_reg_loss_freq_mean,fft_reg_loss_total_mean,fft_reg_lambda_min,fft_reg_lambda_mean,fft_reg_lambda_max,fft_reg_lambda_final
cosco,cosco,SpokenArabicDigits,1,0.3360618462937699,2.1,19509,ok,,,,,,,,,,,,,,,
cosco_fft_reg,cosco_fft_reg_l0.1,SpokenArabicDigits,1,0.36289222373806274,2.8,19509,ok,fft_reg_lambda=0.1,,,,,,,0.1,1.4649213218688966,1.5275555884838103,1.6176768803596497,0.1,0.09999999999999998,0.1,0.1
cosco_fft_reg_dynamic,cosco_fft_reg_dynamic_l0.1,SpokenArabicDigits,1,0.3587994542974079,2.8,19509,ok,fft_reg_lambda=0.1,,,,,,,0.1,1.4649816155433655,1.5323709392547606,1.6114797794818878,0.08185374736785889,0.09592840439081192,0.0994487226009369,0.0994487226009369
cosco,cosco,SpokenArabicDigits,10,0.7548885857207822,2.2,20517,ok,,,,,,,,,,,,,,,
cosco_fft_reg,cosco_fft_reg_l0.1,SpokenArabicDigits,10,0.7389722601182356,3.6,20517,ok,fft_reg_lambda=0.1,,,,,,,0.1,1.5908604204654693,2.1285661625862122,1.8037170374393463,0.1,0.09999999999999998,0.1,0.1
cosco_fft_reg_dynamic,cosco_fft_reg_dynamic_l0.1,SpokenArabicDigits,10,0.7435197817189632,3.6,20517,ok,fft_reg_lambda=0.1,,,,,,,0.1,1.5911046731472016,2.177799962759018,1.7502151429653168,0.06698996424674988,0.07299108344316481,0.09608755707740785,0.0760779082775116
cosco,cosco,RacketSports,1,0.4868421052631579,1.1,9924,ok,,,,,,,,,,,,,,,
cosco_fft_reg,cosco_fft_reg_l0.1,RacketSports,1,0.506578947368421,2.0,9924,ok,fft_reg_lambda=0.1,,,,,,,0.1,0.7481581592559814,0.7493872916698456,0.8230968862771988,0.1,0.09999999999999998,0.1,0.1
cosco_fft_reg_dynamic,cosco_fft_reg_dynamic_l0.1,RacketSports,1,0.4868421052631579,2.0,9924,ok,fft_reg_lambda=0.1,,,,,,,0.1,0.7481983381509781,0.7493843460083007,0.8229687595367432,0.09895631074905396,0.0997772749066353,0.1,0.09992619752883912
cosco,cosco,RacketSports,10,0.7960526315789473,1.2,10644,ok,,,,,,,,,,,,,,,
cosco_fft_reg,cosco_fft_reg_l0.1,RacketSports,10,0.7960526315789473,2.2,10644,ok,fft_reg_lambda=0.1,,,,,,,0.1,0.8208437466621399,0.9163080561161041,0.9124745523929596,0.1,0.09999999999999998,0.1,0.1
cosco_fft_reg_dynamic,cosco_fft_reg_dynamic_l0.1,RacketSports,10,0.7960526315789473,2.1,10644,ok,fft_reg_lambda=0.1,,,,,,,0.1,0.8208733004331589,0.9480374598503113,0.9029487550258637,0.06991766691207886,0.08798280227184295,0.1,0.1
cosco,cosco,Heartbeat,1,0.7268292682926829,1.1,5845,ok,,,,,,,,,,,,,,,
cosco_fft_reg,cosco_fft_reg_l0.1,Heartbeat,1,0.7365853658536585,1.8,5845,ok,fft_reg_lambda=0.1,,,,,,,0.1,0.31367920100688934,0.3699620133638382,0.3506754019856453,0.1,0.09999999999999998,0.1,0.1
cosco_fft_reg_dynamic,cosco_fft_reg_dynamic_l0.1,Heartbeat,1,0.7414634146341463,1.8,5845,ok,fft_reg_lambda=0.1,,,,,,,0.1,0.3136795490980148,0.3972275871038437,0.3450475043058395,0.06568345427513123,0.07984013551473619,0.08934615850448609,0.08889932036399842
cosco,cosco,Heartbeat,10,0.6536585365853659,1.8,6421,ok,,,,,,,,,,,,,,,
cosco_fft_reg,cosco_fft_reg_l0.1,Heartbeat,10,0.6731707317073171,2.9,6421,ok,fft_reg_lambda=0.1,,,,,,,0.1,0.5106651678681373,0.42665693908929825,0.553330862224102,0.1,0.09999999999999998,0.1,0.1
cosco_fft_reg_dynamic,cosco_fft_reg_dynamic_l0.1,Heartbeat,10,0.6731707317073171,2.9,6421,ok,fft_reg_lambda=0.1,,,,,,,0.1,0.5106651678681373,0.42665693908929825,0.553330862224102,0.1,0.09999999999999998,0.1,0.1
cosco,cosco,JapaneseVowels,1,0.6675675675675675,1.4,12844,ok,,,,,,,,,,,,,,,
cosco_fft_reg,cosco_fft_reg_l0.1,JapaneseVowels,1,0.6621621621621622,2.6,12844,ok,fft_reg_lambda=0.1,,,,,,,0.1,1.3736298990249634,1.394257700443268,1.5130556738376617,0.1,0.09999999999999998,0.1,0.1
cosco_fft_reg_dynamic,cosco_fft_reg_dynamic_l0.1,JapaneseVowels,1,0.6648648648648648,2.7,12844,ok,fft_reg_lambda=0.1,,,,,,,0.1,1.3737058639526367,1.3943677055835724,1.511076443195343,0.0880043923854828,0.09859345704317095,0.09979510307312012,0.09979510307312012
cosco,cosco,JapaneseVowels,10,0.9027027027027027,1.6,13660,ok,,,,,,,,,,,,,,,
cosco_fft_reg,cosco_fft_reg_l0.1,JapaneseVowels,10,0.9,2.8,13660,ok,fft_reg_lambda=0.1,,,,,,,0.1,1.4026647806167603,1.697446459531784,1.5724094307422638,0.1,0.09999999999999998,0.1,0.1
cosco_fft_reg_dynamic,cosco_fft_reg_dynamic_l0.1,JapaneseVowels,10,0.9,2.8,13660,ok,fft_reg_lambda=0.1,,,,,,,0.1,1.4025916922092438,1.7451276636123658,1.5428508627414703,0.06671448945999146,0.08193377286195755,0.09782154560089112,0.09782154560089112
cosco,cosco,Libras,1,0.4111111111111111,1.8,3019,ok,,,,,,,,,,,,,,,
cosco_fft_reg,cosco_fft_reg_l0.1,Libras,1,0.40555555555555556,3.4,3019,ok,fft_reg_lambda=0.1,,,,,,,0.1,1.8259305191040038,1.8974709630012512,2.0156776130199434,0.1,0.09999999999999998,0.1,0.1
cosco_fft_reg_dynamic,cosco_fft_reg_dynamic_l0.1,Libras,1,0.38333333333333336,3.5,3019,ok,fft_reg_lambda=0.1,,,,,,,0.1,1.8259004747867584,1.900432151556015,2.008490526676178,0.08414729833602906,0.09633624774217607,0.09940847158432008,0.09940847158432008
cosco,cosco,Libras,10,0.8666666666666667,2.5,3451,ok,,,,,,,,,,,,,,,
cosco_fft_reg,cosco_fft_reg_l0.1,Libras,10,0.8611111111111112,4.2,3451,ok,fft_reg_lambda=0.1,,,,,,,0.1,2.061975804567337,2.2194188809394837,2.283917689323425,0.1,0.09999999999999998,0.1,0.1
