model,model_key,dataset,shot,accuracy,elapsed_sec,seed,status,cosco_variant,rho_min,rho_mean,rho_max,rho_final,proto_stress_mean,proto_stress_final,fft_reg_lambda,fft_reg_loss_time_mean,fft_reg_loss_freq_mean,fft_reg_loss_total_mean
cosco,cosco,SpokenArabicDigits,1,0.33424283765347884,4.6,19509,ok,,,,,,,,,,,
cosco_fft_reg,cosco_fft_reg_l0.1,SpokenArabicDigits,1,0.36289222373806274,7.5,19509,ok,fft_reg_lambda=0.1,,,,,,,0.1,1.4649315893650054,1.5276067423820496,1.6176922595500947
cosco_fft_reg,cosco_fft_reg_l0.3,SpokenArabicDigits,1,0.3678944974988631,7.2,19509,ok,fft_reg_lambda=0.3,,,,,,,0.3,1.4646748471260072,1.501564713716507,1.9151442790031432
cosco_fft_reg,cosco_fft_reg_l0.5,SpokenArabicDigits,1,0.36607548885857205,7.2,19509,ok,fft_reg_lambda=0.5,,,,,,,0.5,1.4644455897808075,1.4931343030929565,2.2110127449035644
cosco,cosco,SpokenArabicDigits,10,0.7548885857207822,4.2,20517,ok,,,,,,,,,,,
cosco_fft_reg,cosco_fft_reg_l0.1,SpokenArabicDigits,10,0.7389722601182356,7.2,20517,ok,fft_reg_lambda=0.1,,,,,,,0.1,1.5908604204654693,2.1285661625862122,1.8037170374393463
cosco_fft_reg,cosco_fft_reg_l0.3,SpokenArabicDigits,10,0.7439745338790359,7.2,20517,ok,fft_reg_lambda=0.3,,,,,,,0.3,1.5888510572910308,1.8785814189910888,2.1524255096912386
cosco_fft_reg,cosco_fft_reg_l0.5,SpokenArabicDigits,10,0.7412460209185994,7.1,20517,ok,fft_reg_lambda=0.5,,,,,,,0.5,1.5882367491722107,1.7828685677051543,2.4796710300445555
cosco,cosco,RacketSports,1,0.4934210526315789,3.0,9924,ok,,,,,,,,,,,
cosco_fft_reg,cosco_fft_reg_l0.1,RacketSports,1,0.5131578947368421,5.4,9924,ok,fft_reg_lambda=0.1,,,,,,,0.1,0.7481494325399399,0.7494179940223694,0.8230912327766419
cosco_fft_reg,cosco_fft_reg_l0.3,RacketSports,1,0.4934210526315789,5.3,9924,ok,fft_reg_lambda=0.3,,,,,,,0.3,0.7481252092123032,0.7468379747867584,0.9721766102313996
cosco_fft_reg,cosco_fft_reg_l0.5,RacketSports,1,0.5,5.3,9924,ok,fft_reg_lambda=0.5,,,,,,,0.5,0.7478832536935807,0.7463235938549042,1.1210450553894042
