model,model_key,dataset,shot,accuracy,elapsed_sec,seed,status,cosco_variant,rho_min,rho_mean,rho_max,rho_final,proto_stress_mean,proto_stress_final,fft_reg_lambda,fft_reg_loss_time_mean,fft_reg_loss_freq_mean,fft_reg_loss_total_mean,fft_reg_lambda_min,fft_reg_lambda_mean,fft_reg_lambda_max,fft_reg_lambda_final,proto_margin_value,proto_margin_beta,proto_margin_base_loss_mean,proto_margin_loss_mean,proto_margin_total_loss_mean,proto_margin_positive_rate_mean,proto_margin_gap_mean
cosco,cosco,SpokenArabicDigits,1,0.33651659845384263,2.2,19509,ok,,,,,,,,,,,,,,,,,,,,,,
cosco_proto_margin,cosco_proto_margin_m0_b0.05,SpokenArabicDigits,1,0.339699863574352,1.9,19509,ok,m0_b0.05,,,,,,,,,,,,,,,0.0,0.05,1.4650159931182862,0.0,1.4650159931182862,0.0,8.50622785806656
cosco_proto_margin_fft_reg,cosco_proto_margin_fft_reg_l0.1,SpokenArabicDigits,1,0.3728967712596635,3.4,19509,ok,fft_reg_lambda=0.1,,,,,,,0.1,1.4649309539794921,1.5277875018119813,1.6177097046375275,0.1,0.09999999999999998,0.1,0.1,0.0,0.05,1.4649309539794921,0.0,1.4649309539794921,0.0,8.566215467453002
cosco,cosco,SpokenArabicDigits,10,0.7548885857207822,2.3,20517,ok,,,,,,,,,,,,,,,,,,,,,,
cosco_proto_margin,cosco_proto_margin_m0_b0.05,SpokenArabicDigits,10,0.7544338335607094,2.4,20517,ok,m0_b0.05,,,,,,,,,,,,,,,0.0,0.05,1.5805204844474792,0.026545748246571747,1.5818477737903596,0.037799998987466096,4.795897120535374
cosco_proto_margin_fft_reg,cosco_proto_margin_fft_reg_l0.1,SpokenArabicDigits,10,0.736243747157799,3.9,20517,ok,fft_reg_lambda=0.1,,,,,,,0.1,1.5818135631084442,2.1377694571018218,1.7955905079841614,0.1,0.09999999999999998,0.1,0.1,0.0,0.05,1.5804606640338899,0.027057878152118065,1.5818135631084442,0.03819999899715185,4.813375347852707
cosco,cosco,RacketSports,1,0.4934210526315789,1.3,9924,ok,,,,,,,,,,,,,,,,,,,,,,
cosco_proto_margin,cosco_proto_margin_m0_b0.05,RacketSports,1,0.4868421052631579,1.4,9924,ok,m0_b0.05,,,,,,,,,,,,,,,0.0,0.05,0.7482192414999008,0.0,0.7482192414999008,0.0,7.284246680736541
cosco_proto_margin_fft_reg,cosco_proto_margin_fft_reg_l0.1,RacketSports,1,0.4934210526315789,2.4,9924,ok,fft_reg_lambda=0.1,,,,,,,0.1,0.7481872147321701,0.7493961304426193,0.823126826286316,0.1,0.09999999999999998,0.1,0.1,0.0,0.05,0.7481872147321701,0.0,0.7481872147321701,0.0,7.335012934207916
cosco,cosco,RacketSports,10,0.7960526315789473,1.4,10644,ok,,,,,,,,,,,,,,,,,,,,,,
