model,model_key,dataset,shot,accuracy,elapsed_sec,seed,status,cosco_variant,rho_min,rho_mean,rho_max,rho_final,proto_stress_mean,proto_stress_final,fft_reg_lambda,fft_reg_loss_time_mean,fft_reg_loss_freq_mean,fft_reg_loss_total_mean,fft_reg_lambda_min,fft_reg_lambda_mean,fft_reg_lambda_max,fft_reg_lambda_final,proto_margin_value,proto_margin_beta,proto_margin_base_loss_mean,proto_margin_loss_mean,proto_margin_total_loss_mean,proto_margin_positive_rate_mean,proto_margin_gap_mean
cosco,cosco,SpokenArabicDigits,1,0.3310595725329695,2.3,19509,ok,,,,,,,,,,,,,,,,,,,,,,
cosco_proto_margin,cosco_proto_margin_m0_b0.05,SpokenArabicDigits,1,0.339699863574352,1.9,19509,ok,m0_b0.05,,,,,,,,,,,,,,,0.0,0.05,1.4650144946575165,0.0,1.4650144946575165,0.0,8.529686238765716
cosco_proto_margin,cosco_proto_margin_m0_b0.1,SpokenArabicDigits,1,0.34015461573442474,2.0,19509,ok,m0_b0.1,,,,,,,,,,,,,,,0.0,0.1,1.4650030183792113,0.0,1.4650030183792113,0.0,8.537666623592377
cosco_proto_margin,cosco_proto_margin_m0_b0.3,SpokenArabicDigits,1,0.33651659845384263,2.1,19509,ok,m0_b0.3,,,,,,,,,,,,,,,0.0,0.3,1.4650044643878937,0.0,1.4650044643878937,0.0,8.524530780315398
cosco_proto_margin,cosco_proto_margin_m0.1_b0.05,SpokenArabicDigits,1,0.339699863574352,2.0,19509,ok,m0.1_b0.05,,,,,,,,,,,,,,,0.1,0.05,1.465016177892685,0.0,1.465016177892685,0.0,8.505896079540253
cosco_proto_margin,cosco_proto_margin_m0.1_b0.1,SpokenArabicDigits,1,0.3383356070941337,1.9,19509,ok,m0.1_b0.1,,,,,,,,,,,,,,,0.1,0.1,1.4650133574008941,0.0,1.4650133574008941,0.0,8.51417994737625
cosco_proto_margin,cosco_proto_margin_m0.1_b0.3,SpokenArabicDigits,1,0.3428831286948613,1.9,19509,ok,m0.1_b0.3,,,,,,,,,,,,,,,0.1,0.3,1.4650106489658357,0.0,1.4650106489658357,0.0,8.522466781139373
cosco_proto_margin,cosco_proto_margin_m0.3_b0.05,SpokenArabicDigits,1,0.3387903592542065,1.9,19509,ok,m0.3_b0.05,,,,,,,,,,,,,,,0.3,0.05,1.4650087749958038,0.0,1.4650087749958038,0.0,8.515071151256562
cosco_proto_margin,cosco_proto_margin_m0.3_b0.1,SpokenArabicDigits,1,0.3387903592542065,1.9,19509,ok,m0.3_b0.1,,,,,,,,,,,,,,,0.3,0.1,1.4649987268447875,0.0,1.4649987268447875,0.0,8.519836165904998
cosco_proto_margin,cosco_proto_margin_m0.3_b0.3,SpokenArabicDigits,1,0.34106412005457026,1.9,19509,ok,m0.3_b0.3,,,,,,,,,,,,,,,0.3,0.3,1.465010701417923,0.0,1.465010701417923,0.0,8.518532497882843
